index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
abr-20,0,0,0,0,0,86,0,0,0,0,0,0,0,86," 3,760,081 "
may-20,0,0,0,0,0,86,0,0,0,0,0,0,0,86," 3,780,546 "
jun-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,803,100 "
jul-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,820,237 "
ago-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,839,028 "
sep-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,867,444 "
oct-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,899,000 "
nov-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,922,989 "
dic-20,0,0,0,0,0,85,0,0,0,0,0,0,0,86," 3,931,331 "
Clientes Z,,,,,,,,,,,,,,,
ene-16,0,339,0,0,0,0,0,0,0,0,0,0,0,341," 11,327,162 "
feb-16,0,339,0,0,0,0,0,0,0,0,0,0,0,341," 11,455,108 "
mar-16,0,339,0,0,0,0,0,1,0,0,0,0,0,341," 11,566,481 "
abr-16,0,339,0,0,0,0,0,1,0,0,0,0,0,341," 11,680,818 "
may-16,1,339,0,0,0,0,0,1,0,0,0,0,0,341," 11,810,566 "
jun-16,1,338,0,0,0,0,0,1,0,0,0,0,0,341," 12,049,244 "
jul-16,1,337,0,0,0,0,1,1,0,0,0,0,0,341," 12,149,686 "
ago-16,1,337,0,0,0,0,1,1,0,0,0,0,0,341," 12,251,540 "
sep-16,1,337,0,0,0,1,1,1,0,0,0,0,0,341," 12,354,343 "
oct-16,1,337,0,0,0,1,1,1,0,0,0,0,0,341," 12,463,319 "
nov-16,1,336,0,0,0,1,1,1,0,0,0,0,0,341," 12,589,049 "
dic-16,2,336,0,0,0,1,1,1,0,0,0,0,0,341," 12,663,374 "
ene-17,0,354,0,0,0,0,0,0,0,0,0,0,0,355," 12,728,527 "
feb-17,0,354,0,0,0,0,0,0,0,0,0,0,0,355," 12,847,426 "
mar-17,0,354,0,0,0,0,0,0,0,0,0,0,0,355," 12,979,915 "
abr-17,0,353,0,0,0,0,0,1,0,0,0,0,0,355," 13,125,417 "
may-17,0,353,0,0,0,0,0,1,0,0,0,0,0,355," 13,262,839 "
jun-17,1,353,0,0,0,0,0,1,0,0,0,0,0,355," 13,402,542 "
